LotFrontage,OverallCond,YearRemodAdd,MasVnrArea,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MiscVal,SalePrice,MSZoningBin,LotShapeBin,NeighborhoodBin,HouseStyleBin,RoofStyleBin,MasVnrTypeBin,ExterQualBin,FoundationBin,BsmtQualBin,BsmtCondBin,BsmtExposureBin,BsmtFinType1Bin,BsmtFinType2Bin,HeatingQCBin,CentralAirBin,ElectricalBin,KitchenQualBin,GarageTypeBin,GarageFinishBin,GarageQualBin,PavedDriveBin,FenceBin,SaleTypeBin,MSSubClassBin,HowOld,BsmtType1Info,AllBaths,Porches,AverageRoomSize,NonObligatoryRooms,ExteriorMatAdd,FireplaceInfoAdd,OverallQualSimple,GarageCarsSimple,1stFlrSFNorm,LotAreaNorm
70.0,5,1965,0.0,0,134,1040,0,6.947937068614969,1,0,1,0,3,1,0,0,0,0,0,0,11.771436160121729,4,1,3,1,2,1,2,1,3,3,2,3,3,5,2,2,2,2,2,3,3,2,1,3,44,2718,2.0,0,173.33333333333334,1.0,3,1,5,1,6.946975992135418,9.32375833901174
85.0,5,2006,286.0,0,177,1175,1142,7.751475318021456,1,0,3,0,4,1,147,21,0,0,0,0,12.751299696013497,4,2,7,3,2,3,4,2,6,3,2,4,3,5,2,2,4,3,4,3,3,2,2,4,2,3992,4.0,21,193.66666666666666,6.0,3,6,9,3,7.074963197966044,9.386392315756542
0.0,6,1962,0.0,0,175,912,0,6.816735880594968,1,0,1,0,2,1,140,0,0,0,176,0,11.877568578558138,4,2,3,1,2,1,2,1,3,3,2,3,3,3,2,2,2,2,2,3,3,2,1,3,47,2211,2.0,176,182.4,1.0,3,1,5,1,6.815639990074331,9.470317173335742
91.0,5,2007,306.0,0,1494,1494,0,7.3098814858247865,0,0,2,0,3,1,160,33,0,0,0,0,12.540757571577291,4,2,5,1,1,3,3,2,4,3,4,3,3,5,2,2,3,3,3,3,3,2,2,3,2,0,2.0,33,186.75,3.0,6,5,7,3,7.309212365692763,9.273596821611198
0.0,5,1960,212.0,0,520,1253,0,7.134093721192866,1,0,1,1,2,1,0,213,176,0,0,0,11.964001084330445,4,2,3,1,2,1,2,1,3,3,2,2,3,3,2,2,2,3,3,3,3,1,1,3,49,1466,2.5,389,208.83333333333334,2.0,2,3,6,1,7.133295954896068,9.298442820197728
51.0,8,2001,0.0,0,832,832,0,6.75110146893676,0,0,1,0,2,1,48,112,0,0,0,0,11.790557201568507,3,1,2,1,1,1,2,1,3,3,2,3,3,5,2,1,2,2,2,3,3,2,1,1,79,0,1.0,112,142.33333333333334,2.0,2,1,7,2,6.74993119378857,8.71948076085107
0.0,7,1970,180.0,0,426,1004,0,6.912742820493176,1,0,1,0,2,1,0,0,0,0,0,700,11.911701584927597,4,2,3,1,1,1,2,1,3,3,2,3,3,5,2,2,2,3,4,3,3,2,1,3,41,1734,2.0,0,167.33333333333334,2.0,2,4,6,2,6.911747300251674,9.32741204356202
72.0,5,1967,0.0,0,0,0,0,7.167809184316444,0,0,2,0,2,2,0,0,0,0,0,500,11.407564949312402,4,1,3,1,1,1,2,1,1,1,1,1,1,3,2,2,2,2,2,3,3,2,1,2,40,0,2.0,0,185.14285714285714,2.0,2,1,4,2,7.16703787691222,9.286560397887591
66.0,5,2004,0.0,0,468,1114,0,7.016609683894219,1,0,1,1,3,1,0,102,0,0,0,0,11.976659481202368,4,1,4,1,1,1,2,2,3,3,2,4,3,5,2,2,3,2,2,3,3,2,1,3,5,2584,2.5,102,159.14285714285714,2.0,6,1,5,2,7.01571242048723,9.524859098381523
70.0,6,1965,0.0,0,525,1029,0,7.200424892944957,0,0,1,0,3,1,0,0,0,0,0,0,11.842229212112828,4,1,3,1,2,1,2,1,3,3,2,2,3,3,2,2,2,3,2,3,3,1,1,3,52,1008,1.0,0,191.28571428571428,2.0,4,1,5,1,7.199678345691172,8.93075873555827
101.0,5,2006,380.0,0,1158,1158,1218,7.773594467360194,0,0,3,1,4,1,240,154,0,0,0,0,12.692503112461443,4,2,7,3,1,1,3,2,6,3,4,3,3,5,2,2,3,3,3,3,3,2,2,4,2,0,3.5,154,237.6,4.0,6,5,8,3,7.05444965813294,9.562123369834488
57.0,7,1950,0.0,0,637,637,0,7.011213987350367,0,0,1,0,3,1,0,0,205,0,0,0,11.845102777308561,3,1,1,1,1,1,2,2,3,3,2,3,3,5,2,1,3,3,2,3,1,2,1,1,78,0,1.0,205,158.28571428571428,2.0,2,5,7,1,7.010311867307229,8.915969311373605
75.0,5,2002,281.0,0,1777,1777,0,7.493317248862145,0,0,2,0,3,1,171,159,0,0,0,0,12.345834587905333,4,1,5,1,2,1,3,2,4,3,2,3,3,5,2,2,3,3,3,3,3,2,1,3,7,0,2.0,159,224.375,3.0,6,5,8,2,7.492760300922379,9.184304357425342
44.0,7,1976,0.0,0,200,1040,0,6.966967138613983,1,0,1,0,3,1,100,110,0,0,0,0,11.77452020265869,3,1,1,1,1,1,2,2,4,3,2,4,3,3,2,2,2,3,2,3,3,2,1,4,32,3360,2.0,110,151.42857142857142,2.0,6,4,5,2,6.966024187106113,8.348774539791274
0.0,8,2001,0.0,668,204,1060,0,6.966967138613983,1,0,1,0,3,1,406,90,0,0,0,0,11.944707881395766,4,2,3,1,1,1,2,1,3,3,3,3,3,5,2,2,3,3,2,3,3,1,1,3,43,564,2.0,90,151.42857142857142,2.0,4,4,5,1,6.966024187106113,9.017604776833355
110.0,5,2007,640.0,0,1566,1566,0,7.3783837129967145,0,0,2,0,3,1,0,56,0,0,0,0,12.454103912352162,4,1,7,1,1,3,3,2,4,3,2,3,3,5,2,2,3,3,3,3,3,2,1,3,3,0,2.0,56,200.0,3.0,6,5,8,3,7.3777589082278725,9.56317796268366
60.0,7,2000,0.0,486,180,900,0,6.803505257608338,0,1,1,0,3,1,222,32,0,0,0,0,11.811547477460344,4,1,3,1,1,1,2,1,3,3,3,2,3,3,2,2,3,2,2,3,3,2,1,3,60,468,1.5,32,150.0,1.0,2,1,5,2,6.802394763324311,8.881975184248867
98.0,5,2008,200.0,0,486,1704,0,7.4413203897176174,1,0,2,0,3,1,0,50,0,0,0,0,12.631340380934517,4,1,7,1,1,3,3,2,6,3,2,4,3,5,2,2,3,3,3,3,3,2,1,3,4,4872,3.0,50,213.0,3.0,6,5,8,3,7.440733707389261,9.348274558065496
47.0,6,1997,0.0,0,207,1484,0,7.3783837129967145,1,0,1,0,2,1,288,258,0,0,0,0,12.24288661865289,4,2,3,1,1,1,2,1,3,3,5,2,3,3,2,2,2,3,3,3,3,2,1,3,50,2554,2.0,258,228.57142857142858,3.0,2,6,5,1,7.3777589082278725,9.700269170029188
60.0,6,1950,0.0,0,520,520,0,6.255750041753367,0,0,1,0,1,1,49,0,87,0,0,0,11.134589024250317,3,2,2,1,1,1,2,1,3,3,2,3,3,2,1,2,1,2,2,2,3,2,1,1,82,0,1.0,87,104.0,2.0,2,1,4,1,6.253828811575473,8.752265313595721
50.0,4,1950,0.0,0,649,649,668,7.183870715062453,0,0,1,0,3,1,0,54,172,0,0,0,10.596634733096073,1,1,1,3,1,1,2,1,3,3,2,3,3,3,1,2,2,2,2,3,1,1,1,3,89,0,1.0,226,188.14285714285714,2.0,4,1,4,1,6.47543271670409,9.04793908261736
0.0,6,2006,0.0,0,1228,1228,0,7.113956109566034,0,0,1,1,3,1,0,65,0,0,0,0,11.914047823644255,4,2,3,1,1,1,2,1,3,3,2,3,3,4,2,2,3,3,2,3,3,1,1,3,43,0,1.5,65,175.42857142857142,2.0,3,1,5,1,7.113142108707088,9.053101595549691
85.0,5,2007,0.0,0,1234,1234,0,7.118826249062078,0,0,2,0,3,1,0,30,0,0,0,0,12.100156419938624,4,1,5,1,1,1,3,2,6,3,4,3,3,5,2,2,3,3,3,3,3,2,1,3,2,0,2.0,30,154.25,3.0,6,1,8,2,7.1180162044653335,9.310185706945898
70.0,5,1959,0.0,0,380,1398,0,7.438971592395862,0,1,1,1,4,1,0,38,0,0,0,0,12.016726473799254,4,2,3,1,2,1,2,1,3,3,2,3,3,4,2,2,3,3,3,3,3,2,1,3,52,3054,2.0,38,242.85714285714286,1.0,4,5,5,2,7.438383530044307,9.26416545867109
60.0,5,2005,246.0,0,408,1561,0,7.3537223303996315,1,0,2,0,2,1,203,47,0,0,0,0,12.533576212168626,4,1,7,1,2,1,4,2,6,3,2,4,3,5,2,2,4,3,4,3,3,2,1,4,3,4612,3.0,47,223.0,3.0,2,5,9,2,7.353081920515432,8.897545598709327
108.0,5,2005,132.0,0,1117,1117,1320,7.8050670442584895,0,0,3,1,4,1,113,32,0,0,0,0,12.641096555879882,4,1,7,3,1,3,3,2,6,3,4,3,3,5,2,2,3,3,4,3,3,2,1,4,3,0,3.5,32,245.2,4.0,6,5,8,3,7.0317412587631285,9.504426892100957
112.0,5,1995,0.0,0,1097,1097,0,7.001245622069476,0,0,1,1,3,1,392,64,0,0,0,0,11.884489021402711,4,1,5,1,1,1,2,2,4,3,2,3,3,5,2,2,2,3,2,3,3,2,1,3,16,0,1.5,64,156.71428571428572,2.0,6,1,5,2,7.00033446027523,9.292841593487926
74.0,6,1990,650.0,0,84,1297,0,7.168579897264035,0,1,1,0,3,1,0,0,0,0,0,0,11.938193200374572,4,1,3,1,2,1,2,1,3,3,2,3,3,4,2,2,2,3,4,3,3,2,1,3,56,3639,1.5,0,216.16666666666666,1.0,2,4,5,2,7.167809184316444,9.051696278536586
68.0,7,2007,0.0,0,326,1057,0,6.964135612418245,1,0,1,0,3,1,0,52,0,0,0,0,11.59910316121128,4,1,3,1,1,1,2,1,3,3,2,4,3,3,2,2,3,2,2,3,3,2,1,3,58,2924,2.0,52,176.16666666666666,1.0,6,1,5,1,6.963189985870238,8.977525200965243
65.0,5,1955,0.0,0,0,0,0,7.050122520269059,0,0,2,0,2,2,0,0,0,0,0,0,11.314474526246391,4,1,2,1,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,54,0,2.0,0,164.57142857142858,2.0,4,1,4,0,7.049254841255837,8.706324840138741
84.0,5,1965,101.0,0,445,1088,0,7.1891677384203225,0,0,2,0,3,1,0,138,0,0,0,0,11.982929094215963,4,1,3,1,1,1,2,1,3,3,2,3,3,5,2,2,2,3,3,3,3,1,1,3,42,1929,2.0,138,189.14285714285714,2.0,2,4,6,2,7.188412736496954,9.066354521447801
115.0,6,1959,0.0,0,383,1350,0,7.192182058713246,0,1,1,1,2,1,0,104,0,0,0,0,12.043553716032399,4,1,6,1,1,1,2,1,3,3,5,2,3,4,2,2,2,3,3,3,2,2,1,3,49,1934,2.0,104,221.33333333333334,2.0,6,6,5,1,7.191429330036379,9.735423867488873
0.0,7,1983,0.0,93,0,840,0,6.785587645007929,1,0,1,0,2,1,240,0,0,0,0,0,11.877568578558138,4,2,4,2,1,1,2,1,4,3,4,3,2,4,2,2,3,3,3,3,3,1,1,2,25,2241,2.0,0,147.33333333333334,2.0,3,1,5,2,6.784457062637643,9.1248914101437
0.0,6,1980,0.0,491,167,938,0,6.844815479208263,1,0,1,0,3,1,145,0,0,0,0,0,11.777210959615614,4,2,5,1,2,1,2,1,4,3,4,2,2,3,2,2,2,2,2,3,3,1,1,3,34,560,2.0,0,156.33333333333334,1.0,6,1,5,1,6.843749949006225,9.127067452782361
70.0,6,1959,0.0,506,465,1150,0,7.048386408721883,1,0,1,0,3,1,0,0,0,0,0,0,11.856515169360305,4,1,3,1,1,1,2,1,3,3,2,3,2,5,2,1,2,3,3,3,3,2,1,3,48,537,2.0,0,164.28571428571428,2.0,3,1,5,1,7.047517221357296,8.980423936374544
61.0,5,2005,412.0,0,1296,1752,0,7.469083884921234,1,0,2,0,2,1,196,82,0,0,0,0,12.675763725937609,4,1,7,1,2,1,4,2,6,3,2,4,3,5,2,2,4,3,3,3,3,2,1,4,6,1824,3.0,82,250.28571428571428,3.0,2,5,9,2,7.468513271496337,8.943636705909594
48.0,5,2003,0.0,0,83,1434,631,7.673223121121708,1,0,1,1,1,1,168,43,0,0,198,0,12.387085012375499,4,2,3,1,1,1,3,2,6,3,2,4,3,5,2,2,3,3,3,3,3,2,1,2,7,5404,2.5,241,307.0,4.0,6,6,7,2,7.325148957955575,9.458995712459116
84.0,5,2006,0.0,0,1632,1656,0,7.4127640174265625,0,0,2,0,3,1,0,146,0,0,0,0,12.428015476267865,5,1,6,1,1,1,3,2,4,3,4,4,3,5,2,2,3,3,3,3,3,2,1,3,2,96,2.0,146,207.0,3.0,6,1,8,3,7.412160334945205,9.314430080500564
33.0,5,2008,0.0,0,736,736,716,7.2813856635702825,0,0,2,0,2,3,0,0,102,0,0,0,11.635143097694478,3,1,2,3,1,1,2,1,3,3,2,3,3,4,2,2,2,1,1,1,1,2,2,2,90,0,2.0,102,161.33333333333334,3.0,2,1,4,0,6.601230118728877,8.402231172946555
66.0,7,1966,0.0,0,192,955,0,6.862757913051401,1,0,1,0,3,1,0,0,0,0,0,0,11.751942365440728,4,1,3,1,1,1,2,1,3,3,2,2,3,5,2,2,2,3,2,3,3,1,1,3,42,1526,2.0,0,136.42857142857142,2.0,3,1,5,1,6.86171134048073,8.954544488386723
0.0,6,1997,0.0,0,612,794,676,7.293697720601438,0,1,2,0,3,1,0,75,0,0,0,0,12.083905011555967,4,2,4,3,1,1,2,2,4,3,4,4,3,4,2,2,2,3,4,3,3,2,1,4,11,728,2.5,75,210.0,2.0,6,1,6,2,6.677083461247136,9.537483513308878
52.0,6,1950,0.0,0,816,816,0,7.0707241072602764,0,0,1,0,3,1,112,0,0,0,0,400,11.648330101976432,3,1,2,1,1,1,2,2,3,3,2,3,3,3,2,2,2,2,2,3,3,1,1,2,73,0,1.0,0,168.0,2.0,2,5,6,2,6.704414354964107,8.738895704934043
110.0,5,1963,0.0,712,0,816,0,6.705639094860003,1,0,1,0,2,1,106,0,0,0,0,0,11.608235644774552,3,2,1,1,1,1,1,1,4,3,5,2,4,3,1,2,2,2,2,3,3,2,1,2,48,208,2.0,0,136.0,2.0,2,1,5,2,6.704414354964107,9.044639916198465
68.0,5,1987,0.0,0,32,1842,0,7.519149957669823,2,0,0,1,0,1,857,72,0,0,0,0,12.86099861326992,4,2,6,1,1,1,3,1,6,3,5,4,3,4,2,2,3,3,4,3,3,2,1,3,26,7240,2.5,72,307.0,4.0,3,5,9,3,7.518607216815252,10.825203541055348
60.0,5,1955,0.0,0,0,384,0,7.215975002651466,0,0,1,0,3,1,0,50,0,0,0,0,11.77528972943772,4,1,3,2,1,1,2,1,3,3,2,3,3,3,2,2,2,2,2,3,3,1,1,3,53,1152,1.0,50,194.28571428571428,2.0,2,4,5,2,7.215239978730097,8.872767529910936
100.0,5,1964,272.0,0,935,1425,0,7.262628600974241,0,0,2,0,3,1,0,0,0,407,0,0,12.103486056755072,4,2,3,1,1,1,2,1,3,3,2,2,3,4,2,2,2,3,3,3,3,2,1,3,45,980,2.0,407,178.125,3.0,3,5,6,2,7.261927092702751,9.227787285579904
24.0,5,2000,456.0,0,321,970,756,7.461640392208575,1,0,2,1,3,1,115,0,0,0,0,0,12.058152515453552,5,1,6,3,1,1,3,2,4,3,2,4,3,5,2,2,3,3,4,3,3,2,1,2,11,2596,3.5,0,217.375,3.0,2,1,8,2,6.890609120147166,7.880804344674901
89.0,5,2004,0.0,0,860,860,860,7.450660796211539,0,0,2,1,3,1,0,70,0,0,0,0,12.188417710291453,4,2,5,3,1,1,3,2,4,3,2,3,3,5,2,2,3,3,3,3,3,2,1,4,3,0,2.5,70,215.0,3.0,6,1,7,2,6.756932389247553,9.362718052397065
66.0,5,2006,1031.0,0,1410,1410,1519,7.988203597022576,0,0,3,1,3,1,192,0,37,0,0,0,12.991753427493052,4,2,7,3,2,1,4,2,6,3,5,3,3,5,2,2,3,3,4,3,3,2,2,4,1,0,3.5,37,267.72727272727275,6.0,6,5,10,3,7.262628600974241,9.52390946537981
60.0,7,1972,0.0,0,148,780,0,6.660575149839686,0,0,1,0,2,1,196,0,0,0,0,0,11.73526869611367,4,1,5,1,1,1,2,1,3,3,4,3,3,5,2,2,2,2,2,3,3,1,1,3,37,1896,1.0,0,156.0,1.0,3,1,5,1,6.659293919683638,8.881975184248867
63.0,5,2004,0.0,0,217,1158,0,7.055312843339752,1,0,1,1,3,1,0,50,0,0,0,0,11.970350312009105,4,1,4,1,1,1,2,2,4,3,2,3,3,5,2,2,3,2,2,3,3,2,2,3,3,2823,2.5,50,193.0,1.0,6,1,6,2,7.05444965813294,9.47830431356186
60.0,7,1996,0.0,0,530,530,530,7.013915474810528,0,0,1,0,3,1,0,0,144,0,0,0,11.522875795823397,3,1,1,3,1,1,2,1,3,2,2,3,3,3,1,2,1,2,2,3,1,2,1,3,88,0,1.0,144,158.71428571428572,2.0,2,1,5,1,6.364750756851911,8.881975184248867
44.0,5,2006,178.0,0,1346,1370,0,7.223295679562314,0,0,2,0,2,1,120,49,0,0,0,0,12.218495165528731,4,2,7,1,1,3,3,2,4,4,3,4,3,5,2,2,3,3,3,3,3,2,1,4,2,96,2.0,49,195.71428571428572,3.0,6,5,8,2,7.222566018822171,8.770749549138642
50.0,6,1950,0.0,0,576,576,808,7.444833273892193,0,0,2,0,3,1,12,11,64,0,0,0,11.84939770159144,3,2,2,3,1,1,2,1,3,3,2,3,3,4,2,2,2,2,2,3,3,2,1,3,90,0,2.0,75,171.0,5.0,4,1,7,2,6.804614520062624,9.239996256883693
0.0,5,1998,573.0,0,318,1057,977,7.618251097876695,1,0,2,1,3,1,576,36,0,0,0,0,12.299107511497363,4,1,5,3,1,1,2,2,4,3,2,4,3,5,2,2,3,3,3,3,3,2,1,4,13,2956,3.5,36,226.0,4.0,6,1,7,2,6.963189985870238,9.145908511816794
76.0,5,2005,344.0,0,1143,1143,1330,7.813591552952433,0,0,2,1,4,1,192,151,0,0,0,0,12.666657052859417,4,1,7,3,1,1,3,2,6,3,4,3,3,5,2,2,3,3,3,3,3,2,1,4,4,0,2.5,151,247.3,4.0,6,5,8,3,7.04141166379481,9.16868469670735
0.0,5,1989,287.0,0,1035,1947,0,7.699842407396986,1,0,2,0,3,1,301,0,0,0,0,0,12.100712129872347,4,1,3,1,1,1,2,1,4,3,5,4,3,3,2,2,2,3,3,3,3,2,1,3,41,3648,3.0,0,275.875,3.0,4,5,7,2,7.699389406256737,9.898525260706313
72.0,5,2003,167.0,0,440,1453,0,7.299797366758161,1,0,2,0,3,1,144,29,0,0,0,0,12.328290278254423,4,2,5,1,1,1,3,2,4,3,4,4,3,5,2,2,3,3,3,3,3,2,1,3,5,4052,3.0,29,184.875,3.0,6,1,7,2,7.2991214627108,9.274816391160547
47.0,6,1950,0.0,0,747,747,0,6.617402977974478,0,0,1,0,2,1,0,0,0,0,0,0,11.289781913656018,3,1,2,1,1,1,2,1,3,3,2,3,3,3,2,2,2,3,2,3,3,2,1,1,66,0,1.0,0,149.4,1.0,2,1,4,1,6.616065185132817,8.435766192720509
81.0,4,1953,0.0,0,701,1304,983,7.7354333524996886,0,0,2,0,3,1,0,21,114,0,0,0,12.323855681186558,4,1,5,1,1,1,3,1,3,3,2,2,3,3,2,2,2,3,4,3,3,2,1,2,54,1206,2.0,135,285.875,3.0,4,4,7,2,7.1731917424865985,9.654641503869545
95.0,6,1973,1115.0,0,343,2223,0,7.707062655370473,1,0,2,0,3,1,300,0,0,0,0,0,12.404923504275338,4,2,3,1,1,1,2,1,4,3,5,3,3,5,2,2,2,3,4,3,3,2,1,3,35,5640,3.0,0,247.0,4.0,4,6,7,2,7.706612913964197,9.521641310026597
69.0,6,2006,0.0,0,280,845,0,6.740519359606223,1,0,1,0,2,1,0,0,0,0,0,0,11.771436160121729,4,1,3,1,1,1,2,1,3,3,2,3,3,3,2,2,2,2,2,3,3,2,1,3,26,1695,2.0,0,169.0,1.0,3,1,4,2,6.739336627357174,8.935903526274423
74.0,5,1998,40.0,0,832,832,833,7.449498005382849,0,0,2,1,3,1,0,94,0,0,291,0,12.128111104060462,4,2,4,3,1,1,2,2,4,3,2,3,3,4,2,2,2,3,4,3,3,2,1,4,12,0,2.5,385,214.75,3.0,6,4,7,2,6.785587645007929,9.224440496354964
85.0,7,2003,104.0,362,404,1086,0,6.99117688712121,1,0,1,0,3,1,0,0,0,0,0,0,11.883799128308773,4,1,3,1,1,1,2,1,3,3,2,3,2,4,2,2,2,3,2,3,3,1,1,3,57,960,2.0,0,155.14285714285714,2.0,2,1,5,2,6.990256500493881,9.23024103368252
60.0,6,1950,0.0,0,840,840,765,7.381501894506707,0,0,2,0,3,2,0,0,202,0,0,0,11.584315461056901,3,1,2,3,1,1,3,1,2,3,2,3,3,4,1,2,2,2,2,3,3,2,1,2,96,0,2.0,202,178.33333333333334,3.0,6,1,3,1,6.733401891837359,8.66406026722579
21.0,5,1973,0.0,0,0,462,462,6.8966943316227125,1,0,1,0,2,1,120,101,0,0,0,0,11.418614785498987,3,1,1,2,1,1,2,1,4,3,5,4,3,3,2,2,2,3,2,3,3,1,1,1,37,1848,2.0,101,164.66666666666666,2.0,6,1,4,1,6.26530121273771,7.3758821482150125
0.0,7,1956,0.0,0,724,952,0,6.859614903654202,0,0,1,0,2,1,0,0,0,0,0,0,11.818570237796182,4,2,3,1,1,1,2,1,3,3,2,3,3,5,2,1,2,2,2,3,3,2,1,3,53,684,1.0,0,190.4,1.0,6,1,4,1,6.858565034791365,9.04499391938819
50.0,5,2001,0.0,41,295,672,213,7.1592919047975645,1,0,1,0,2,1,0,0,0,0,0,0,11.751942365440728,3,1,2,1,1,1,2,1,3,3,2,2,4,3,2,2,2,2,2,3,3,1,1,2,61,672,2.0,0,183.57142857142858,3.0,2,1,5,1,6.977281341630747,9.063694791634697
72.0,5,1968,0.0,0,1768,1768,0,7.478169694159785,0,0,2,0,4,2,0,0,0,0,0,0,11.824079893607152,4,1,3,1,2,1,2,1,3,3,2,3,3,3,1,2,2,1,1,1,3,2,1,2,43,0,2.0,0,196.44444444444446,2.0,3,1,4,0,7.477604243197589,9.285355075781629
60.0,6,1981,0.0,0,440,440,548,7.115582126184454,0,0,1,1,2,1,74,0,128,0,0,0,11.608235644774552,3,1,2,3,1,1,2,2,3,3,2,3,3,4,2,2,2,2,2,3,3,1,1,2,100,0,1.5,128,205.0,2.0,2,1,5,2,6.525029657843462,9.25349564229011
100.0,6,1968,576.0,0,448,896,960,7.669961995473577,0,0,2,1,4,1,0,72,0,0,252,0,12.173032791451973,4,1,3,3,1,1,2,1,4,3,2,3,3,3,2,2,3,3,4,3,3,2,1,4,42,1344,2.5,324,238.0,3.0,6,5,6,1,7.074963197966044,9.472781556562168
32.0,5,1998,443.0,0,36,1237,0,7.198931240688173,1,0,2,0,2,1,0,199,0,0,0,0,11.941455846009388,3,1,3,1,2,1,2,2,6,4,2,4,3,5,2,2,2,3,4,3,3,2,1,4,9,4804,3.0,199,222.83333333333334,2.0,6,1,6,2,7.198183577101943,8.412054873292933
78.0,5,2007,468.0,0,1530,1563,0,7.355001921105257,0,0,2,0,3,1,144,99,0,0,0,0,12.409013489526863,4,1,6,1,1,3,2,2,4,3,2,4,3,5,2,2,3,3,3,3,3,2,1,3,2,132,2.0,99,223.28571428571428,2.0,6,5,8,3,7.354362330421477,9.230829038403499
80.0,5,1960,66.0,0,1065,1065,0,6.97166860472579,0,0,1,1,3,1,74,0,0,0,0,0,11.747997587149712,4,2,3,1,1,1,2,1,3,3,2,3,3,4,2,2,2,2,2,3,3,2,1,3,48,0,1.5,0,152.14285714285714,2.0,2,1,5,2,6.970730078143525,9.09301972939964
